Key,en,es,ar,fr,hi
App Settings,App Settings,Configuración de la aplicación,إعدادات التطبيق,Écran embarqué,ऐप सेटिंग्स
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية,URL des applications,स्प्लैश स्क्रीन
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة,Langues,ऑनबोर्ड स्क्रीन
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات,Centre de vérification,ऐप यूआरएल
Languages,Languages,Idiomas,اللغات,E-mail de configuration,बोली
Verification Center,Verification Center,Centro de verificación,مركز التحقق,Méthode de courrier électronique,सत्यापन केंद्र
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني,Configurer le contenu Web,सेटअप ईमेल
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,Section de configuration,ईमेल विधि
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,Bannière d'accueil,वेब सामग्री सेटअप करें
Setup Section,Setup Section,Sección de configuración,قسم الإعداد,À propos de la section,सेटअप अनुभाग
Home Banner,Home Banner,Banner de inicio,راية الصفحة الرئيسية,Télécharger l'application,होम बैनर
About Section,About Section,Acerca de la sección,حول القسم,Section témoignage,अनुभाग के बारे में
Download App,Download App,Descargar aplicación,تنزيل التطبيق,Section vidéo,ऐप डाउनलोड करें
Testimonial Section,Testimonial Section,Sección de testimonios,قسم الشهادات,Section Partenaire,प्रशंसापत्र अनुभाग
Video Section,Video Section,Sección de Vídeo,قسم الفيديو,Section de pied de page,वीडियो अनुभाग
Partner Section,Partner Section,Sección de socios,قسم الشركاء,Fil d'Ariane,भागीदार अनुभाग
Footer Section,Footer Section,Sección de pie de página,قسم التذييل,Section Galerie,पाद लेख अनुभाग
Breadcrumb Section,Breadcrumb Section,Sección de ruta de navegación,قسم التنقل,Rubrique Contact,ब्रेडक्रम्ब अनुभाग
Gallery Section,Gallery Section,Sección de galería,قسم المعرض,Type de catégorie,गैलरी अनुभाग
Contact Section,Contact Section,Sección de contacto,قسم الاتصال,Section FAQ,संपर्क अनुभाग
Category Type,Category Type,Tipo de categoría,نوع الفئة,Section de connexion,श्रेणी प्रकार
Faq Section,Faq Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة,Section Inscription,अक्सर पूछे जाने वाले प्रश्न अनुभाग
Login Section,Login Section,Sección de inicio de sesión,قسم تسجيل الدخول,Pages de configuration,लॉगिन अनुभाग
Register Section,Register Section,Sección de registro,قسم التسجيل,Liens utiles,रजिस्टर अनुभाग
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد,Rallonges,पेज सेटअप करें
Useful Links,Useful LInks,Enlaces útiles,روابط مفيدة,Méthodes de paiement,उपयोगी कड़ियां
Extensions,Extensions,Extensiones,ملحقات,Ajouter de l'argent,एक्सटेंशन
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع,Automatique,भुगतान के तरीके
Add Money,Add Money,Agregar dinero,أضف المال,Manuel,पैसे जोड़ें
Automatic,Automatic,Automático,تلقائي,Prime,स्वचालित
Manual,Manual,Manual,يدوي,Cookie RGPD,नियमावली
Bonus,Bonus,Prima,علاوة,Informations sur le serveur,बोनस
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات,Vider le cache,जीडीपीआर कुकी
Server Info,Server Info,Información del servidor,معلومات الخادم,Maison,सर्वर जानकारी
Clear Cache,Clear Cache,Borrar caché,مسح ذاكرة التخزين المؤقت,À propos,कैश को साफ़ करें
Home,Home,Hogar,بيت,Campagne,घर
About,About,Acerca de,عن,Contact,के बारे में
Campaign,Campaign,Campaña,حملة,Galerie,अभियान
Contact,Contact,Contacto,اتصال,Rejoignez l'événement,संपर्क
Gallery,Gallery,Galería,معرض,À propos de la Fondation,गैलरी
Join the event,Join the event,Únete al evento,انضم إلى الحدث,Liste des campagnes,आयोजन में शामिल हों
About Foundation,About Foundation,Acerca de la Fundación,حول المؤسسة,Événements récents,फाउंडेशन के बारे में
Campaign Listing,Campaign Listing,Listado de campaña,قائمة الحملة,Notre galerie,अभियान सूची
Recent Events,Recent Events,Eventos recientes,الأحداث الأخيرة,Entrer en contact,हाल की घटनाएं
Our Gallery,Our Gallery,Nuestra galería,معرضنا,Suivez-nous,हमारी गैलरी
Get In Touch,Get In Touch,Ponte en contacto,تواصل معنا,Soutenez-nous,संपर्क में रहो
Follow Us,Follow Us,Síganos,تابعنا,Bulletin,हमारे पर का पालन करें
Support Us,Support Us,Apóyanos,ادعمنا,S'abonner,हमें प्रोत्साहन दें
Newsletter,Newsletter,Hoja informativa,النشرة الإخبارية,Déclin,समाचार पत्रिका
Subscribe,Subscribe,Suscribir,يشترك,Permettre,सदस्यता लें
Decline,Decline,Rechazar,انخفاض,Faites un don maintenant,गिरावट
Allow,Allow,Permitir,يسمح,Aller,अनुमति दें
Donate Now,Donate Now,Donar ahora,تبرع الآن,Vie,अभी दान करें
To Go,To Go,Ir,للذهاب,Notre objectif,चल देना
Life,Life,Vida,حياة,Soulevé,ज़िंदगी
Our Goal,Our Goal,Nuestro objetivo,هدفنا,Messages récents,हमारा लक्ष्य
Raised,Raised,Aumentó,نشأ,Envoyer un message,उठाया
Recent Posts,Recent Posts,Publicaciones recientes,المشاركات الأخيرة,Notre emplacement,हाल के पोस्ट
Send Message,Send Message,Enviar mensaje,أرسل رسالة,Appelez-nous au,मेसेज भेजें
Our Location,Our Location,Nuestra Ubicación,موقعنا,Envoyez-nous un email directement,हमारा स्थान
Call us on,Call us on,Llámanos al,اتصل بنا على,Mot de passe oublié,हमें कॉल करें
Email us directly,Email us directly,Envíenos un correo electrónico directamente,راسلنا عبر البريد الإلكتروني مباشرة,Connectez-vous maintenant,हमें सीधे ईमेल करें
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Ou,पासवर्ड भूल गए
Login Now,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Inscrivez-vous maintenant,अभी लॉगिन करें
Or,Or,O,أو,Vous avez déjà un compte,या
Register Now,Register Now,Regístrese ahora,سجل الآن,Envoyer le code,अभी पंजीकरण करें
Already Have An Account,Already Have An Account,Ya tienes una cuenta,لديك حساب بالفعل,Mot de passe oublié,क्या आपके पास पहले से एक खाता मौजूद है
Send Code,Send Code,Enviar código,إرسال الرمز,Entrez l'e-mail ou le nom d'utilisateur de votre compte pour vérifier,कोड भेजें
Password Forgot,Password Forgot,Contraseña olvidada,نسيت كلمة المرور,Réinitialisation du mot de passe,पासवर्ड भूल गए
Enter your account email or username to verify,Enter your account email or username to verify,Ingrese el correo electrónico o nombre de usuario de su cuenta para verificar,أدخل البريد الإلكتروني لحسابك أو اسم المستخدم للتحقق,Réinitialisez votre mot de passe,सत्यापित करने के लिए अपना खाता ईमेल या उपयोगकर्ता नाम दर्ज करें
Password Reset,Password Reset,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialiser,पासवर्ड रीसेट
Reset your password,Reset your password,Restablece tu contraseña,إعادة تعيين كلمة المرور الخاصة بك,Vérification OTP,अपना पासवर्ड रीसेट करें
Reset,Reset,Reiniciar,إعادة ضبط,Veuillez vérifier votre adresse e-mail pour obtenir l'OTP (mot de passe à usage unique),रीसेट करें
OTP Verification,OTP Verification,Verificación OTP,التحقق من OTP,Vérifier,ओटीपी सत्यापन
Please check your email address to get the OTP (One time password),Please check your email address to get the OTP (One time password),Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso),يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة),Vérification KYC,ओटीपी (वन टाइम पासवर्ड) प्राप्त करने के लिए कृपया अपना ईमेल पता जांचें
Verify,Verify,Verificar,يؤكد,Veuillez soumettre vos informations KYC avec des données valides.,सत्यापित करें
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC,Autorisation de compte,केवाईसी सत्यापन
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información KYC con datos válidos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صالحة.,Besoin de vérifier votre compte. Veuillez vérifier votre boîte de réception pour obtenir le code d'autorisation,कृपया वैध डेटा के साथ अपनी केवाईसी जानकारी जमा करें।
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب,Vous pouvez renvoyer le code après,खाता प्राधिकरण
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Por favor revise su bandeja de entrada de correo para obtener el código de autorización.,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التفويض,Autoriser,अपना खाता सत्यापित करने की आवश्यकता है. कृपया प्राधिकरण कोड प्राप्त करने के लिए अपना मेल इनबॉक्स जांचें
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك,Historique des dons,आप इसके बाद कोड दोबारा भेज सकते हैं
Authorize,Authorize,Autorizar,يأذن,Faire un don,अधिकृत
Donation History,Donation History,Historial de donaciones,تاريخ التبرع,Événement,दान इतिहास
Donate,Donate,Donar,يتبرع,Solde actuel,दान करें
Event,Event,Evento,حدث,Voir tout,आयोजन
Current Balance,Current Balance,Saldo actual,الرصيد الحالي,Ajouter,वर्तमान शेष
View all,View all,Ver todo,عرض الكل,Montant total du don,सभी को देखें
Add,Add,Agregar,يضيف,Don total,जोड़ना
Total Donation Amount,Total Donation Amount,Monto total de la donación,إجمالي مبلغ التبرع,Campagne totale,कुल दान राशि
Total Donate,Total Donate,Donación Total,إجمالي التبرع,Montant du dernier don,कुल दान
Total Campaign,Total Campaign,Campaña total,إجمالي الحملة,Événement total,कुल अभियान
Last Donate Amount,Last Donate Amount,Monto de la última donación,آخر مبلغ التبرع,Graphique de l'historique des dons,अंतिम दान राशि
Total Event,Total Event,Evento total,إجمالي الحدث,Titre de la campagne,कुल घटना
Donate History Chart,Donate History Chart,Cuadro histórico de donaciones,تبرع مخطط التاريخ,Objectif de la campagne,इतिहास चार्ट दान करें
Campaign Title,Campaign Title,Título de la campaña,عنوان الحملة,Montant du don,अभियान शीर्षक
Campaign Goal,Campaign Goal,Objetivo de la campaña,هدف الحملة,Statut,अभियान लक्ष्य
Donation Amount,Donation Amount,Monto de la donación,مبلغ التبرع,Date du don,दान राशि
Status,Status,Estado,حالة,Taux de change,स्थिति
Donation Date,Donation Date,Fecha de donación,تاريخ التبرع,Estival,दान तिथि
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف,Montant saisi,विनिमय दर
Summery,Summery,Veraniego,صيفي,Total des frais et charges,ग्रीष्मकालिन
Entered Amount,Entered Amount,Monto ingresado,المبلغ المدخل,obtiendra,दर्ज की गई राशि
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف,Montant total à payer,कुल शुल्क एवं शुल्क
Will Get,Will Get,obtendrá,سوف تحصل,Ajouter un journal d'argent,लाऊंगा
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق,Ajouter un solde via,कुल देय राशि
Add Money Log,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال,Heure et date,मनी लॉग जोड़ें
Add Balance via,Add Balance via,Agregar saldo a través de,إضافة رصيد عبر,ID de transaction,के माध्यम से शेष राशि जोड़ें
Time & Date,Time & Date,Hora y fecha,الوقت والتاريخ,Frais et charges,समय एवं दिनांक
Transaction ID,Transaction ID,ID de transacción,معرف المعاملة,Montant total,लेन-देन आईडी
Fees & Charge,Fees & Charge,Tarifas y cargos,الرسوم والتكاليف,Changer le mot de passe,फीस एवं शुल्क
Total Amount,Total Amount,Monto Total,المبلغ الإجمالي,Paramètres du profil,कुल राशि
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Déconnexion,पासवर्ड बदलें
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي,Profil utilisateur,प्रोफ़ाइल सेटिंग्स
Logout,Logout,Cerrar sesión,تسجيل الخروج,Mise à jour,लॉग आउट
User Profile,User Profile,Perfil de usuario,ملف تعريف المستخدم,Mot de passe actuel,उपयोगकर्ता रूपरेखा
Update,Update,Actualizar,تحديث,Nouveau mot de passe,अद्यतन
Current Password,Current Password,Contraseña actual,كلمة المرور الحالية,Confirmez le mot de passe,वर्तमान पासवर्ड
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة,Changement,नया पासवर्ड
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Ajouter un solde d'argent,पासवर्ड की पुष्टि कीजिये
Change,Change,Cambiar,يتغير,Don de tous les temps,परिवर्तन
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال,Nombre total d'utilisateurs,धन शेष जोड़ें
All Time Donation,All Time Donation,Donación de todos los tiempos,التبرع في كل الأوقات,Actif,सर्वकालिक दान
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين,Non vérifié,कुल उपयोगकर्ता
Active,Active,Activo,نشيط,Ce mois-ci,सक्रिय
Unverified,Unverified,Inconfirmado,لم يتم التحقق منها,Mois dernier,असत्यापित
This Month,This Month,este mes,هذا الشهر,En attente d'ajouter de l'argent,इस महीने
Last Month,Last Month,Mes pasado,الشهر الماضي,En attente de don,पिछला महीना
Pending Add Money,Pending Add Money,Pendiente Agregar dinero,في انتظار إضافة المال,Aujourd'hui,लंबित पैसा जोड़ें
Pending Donation,Pending Donation,Donación pendiente,في انتظار التبرع,Tableau d'ajout d'argent mensuel,लंबित दान
Today,Today,Hoy,اليوم,Voir,आज
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual para agregar dinero,مخطط إضافة الأموال شهريًا,Tableau des dons mensuels,मासिक धन जोड़ें चार्ट
View,View,Vista,منظر,Analyse des campagnes et des événements,देखना
Monthly Donation Chart,Monthly Donation Chart,Tabla de donaciones mensuales,مخطط التبرع الشهري,Voir la campagne,मासिक दान चार्ट
Campaign And Event Analytics,Campaign And Event Analytics,Análisis de campañas y eventos,تحليلات الحملة والحدث,Voir l'événement,अभियान और घटना विश्लेषण
View Campaign,View Campaign,Ver campaña,عرض الحملة,Analyse des utilisateurs,अभियान देखें
View Event,View Event,Ver evento,عرض الحدث,Afficher l'utilisateur,घटना देखें
User Analytics,User Analytics,Análisis de usuario,تحليلات المستخدم,Croissance des dons,उपयोगकर्ता विश्लेषण
View User,View User,Ver usuario,عرض المستخدم,Voir le don,उपयोगकर्ता देखें
Donation Growth,Donation Growth,Crecimiento de donaciones,نمو التبرعات,Derniers dons,दान वृद्धि
View Donation,View Donation,Ver donación,عرض التبرع,Montant total des échanges,दान देखें
Latest Donations,Latest Donations,Últimas donaciones,أحدث التبرعات,Montant total du marché,नवीनतम दान
Total Trade Amount,Total Trade Amount,Monto total del comercio,إجمالي مبلغ التجارة,TRX,कुल व्यापार राशि
Total Marketplace Amount,Total Marketplace Amount,Monto total del mercado,إجمالي مبلغ السوق,E-mail,कुल बाज़ार राशि
TRX,TRX,TRX,تي آر إكس,Montant,क्लीन स्टार्ट
Email,Email,Correo electrónico,بريد إلكتروني,Méthode,ईमेल
Amount,Amount,Cantidad,كمية,Temps,मात्रा
Method,Method,Método,طريقة,Bienvenue à,तरीका
Time,Time,Tiempo,وقت,Panneau d'administration,समय
Welcome To,Welcome To,Bienvenido a,مرحبا بكم في,Nom | Code,आपका स्वागत है
Admin Panel,Admin Panel,Panel de administración,لوحة الإدارة,Symbole,व्यवस्थापक पैनल
Name | Code,Name | Code,Nombre | Código,الاسم | شفرة,Taper,नाम | कोड
Symbol,Symbol,Símbolo,رمز,Section Campagne,प्रतीक
Type,Type,Tipo,يكتب,Ajouter une campagne,प्रकार
Campaign Section,Campaign Section,Sección de campaña,قسم الحملة,Titre,अभियान अनुभाग
Add Campaign,Add Campaign,Agregar campaña,أضف حملة,Modifier la campagne,अभियान जोड़ें
Title,Title,Título,عنوان,Ajouter un événement,शीर्षक
Edit Campaign,Edit Campaign,Editar campaña,تحرير الحملة,Catégorie,अभियान संपादित करें
Add Event,Add Event,Agregar evento,أضف حدثًا,Événement Modifier,कार्यक्रम जोड़ें
Category,Category,Categoría,فئة,Journaux complets,वर्ग
Event Edit,Event Edit,Editar evento,تحرير الحدث,Nom d'utilisateur,घटना संपादित करें
Complete Logs,Complete Logs,Registros completos,سجلات كاملة,Statut vérifié par e-mail,पूर्ण लॉग
Username,Username,Nombre de usuario,اسم المستخدم,Action,उपयोगकर्ता नाम
Email Verified Status,Email Verified Status,Estado verificado del correo electrónico,حالة التحقق من البريد الإلكتروني,Envoyer un e-mail aux utilisateurs non vérifiés,ईमेल सत्यापित स्थिति
Action,Action,Acción,فعل,Nom et prénom,कार्रवाई
Email Unverified Users,Email Unverified Users,Enviar correo electrónico a usuarios no verificados,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم,Ajouter un administrateur,असत्यापित उपयोगकर्ताओं को ईमेल करें
Full Name,Full Name,Nombre completo,الاسم الكامل,Modifier l'administrateur,पूरा नाम
Add Admin,Add Admin,Agregar administrador,إضافة المشرف,Tous les abonnés,व्यवस्थापक जोड़ें
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف,Envoyer un e-mail à tous,व्यवस्थापक संपादित करें
All Subscriber,All Subscriber,Todos los suscriptores,جميع المشتركين,Date,सभी सब्सक्राइबर
Email To All,Email To All,Correo electrónico a todos,البريد الإلكتروني للجميع,Envoyer un e-mail,सभी को ईमेल करें
Date,Date,Fecha,تاريخ,Nom,तारीख
Send Email,Send Email,Enviar correo electrónico,إرسال البريد الإلكتروني,Téléphone,ईमेल भेजें
Name,Name,Nombre,اسم,Aucune donnée trouvée !,नाम
Phone,Phone,Teléfono,هاتف,Message,फ़ोन
No data found!,No data found!,¡No se encontraron datos!,لم يتم العثور على بيانات!,Sous-titre,डाटा प्राप्त नहीं हुआ!
Message,Message,Mensaje,رسالة,Gestionnaire de langues,संदेश
Sub Title,Sub Title,Subtítulo,العنوان الفرعي,Code,उपशीर्षक
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Ajouter un nouveau,भाषा प्रबंधक
Code,Code,Código,شفرة,Importer,कोड
Add New,Add New,Agregar nuevo,أضف جديد,Ajouter une langue,नया जोड़ो
Import,Import,Importar,يستورد,Modifier la langue,आयात
Add Languag,Add Languag,Agregar idioma,أضف لغة,Langue d'importation,भाषा जोड़ें
Edit Language,Edit Language,Editar idioma,تحرير اللغة,Modèle par défaut,भाषा संपादित करें
Import Language,Import Language,Idioma de importación,استيراد اللغة,Section Bannière d'accueil,भाषा आयात करें
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي,Section Télécharger l'application,डिफ़ॉल्ट टेम्पलेट
Home Banner Section,Home Banner Section,Sección de banner de inicio,قسم لافتة الصفحة الرئيسية,Section des meilleurs partenaires,होम बैनर अनुभाग
Download App Section,Download App Section,Descargar sección de aplicaciones,تحميل قسم التطبيقات,Fonds publicitaire,ऐप अनुभाग डाउनलोड करें
Top Partner Section,Top Partner Section,Sección superior de socios,قسم الشركاء الأعلى,Nous aidons les enfants à grandir correctement,शीर्ष भागीदार अनुभाग
app Name,AdFund,Fondo publicitario,صندوق الإعلان,Le ton et éclaire le système du village universel rose comme pour lui un œil d'essai. de préavis ses associés.,ऐडफंड
on Board Title,We help the kids to grow up in the right way,Ayudamos a los niños a crecer de la manera correcta.,نحن نساعد الأطفال على النمو بالطريقة الصحيحة,Commencer,हम बच्चों को सही तरीके से बड़ा होने में मदद करते हैं
on Board Des,The tone and elucidates the of system the universal village pink like so to her a try eye. of notice his a associates.,El tono y aclara el sistema del pueblo universal rosa como tal para ella un ojo de prueba. de aviso sus asociados.,النغمة وتوضح نظام القرية العالمية الوردية مثل ذلك جربها بالعين. من إشعار شركائه.,"Commençons par l'inscription. Si vous avez déjà un compte, connectez-vous maintenant.",स्वर और व्यवस्था की व्याख्या करता है सार्वभौमिक गांव गुलाबी तो उसे एक कोशिश आंख की तरह। ध्यान दें कि उसके एक सहयोगी हैं।
get Started,Get Started,Empezar,ابدأ,Se connecter,शुरू हो जाओ
lets Start,"Let's start with signing up. If you already have an account, sign in now.","Comencemos por registrarnos. Si ya tienes una cuenta, inicia sesión ahora.",لنبدأ بالتسجيل. إذا كان لديك حساب بالفعل، قم بتسجيل الدخول الآن.,Paiement Paypal,"आइए साइन अप करके शुरुआत करें। यदि आपके पास पहले से ही एक खाता है, तो अभी साइन इन करें।"
sign In,Sign In,Iniciar sesión,تسجيل الدخول,Onde Flutter,दाखिल करना
paypal Payment,Paypal Payment,Pago Paypal,الدفع باي بال,S'inscrire,पेपैल भुगतान
flutterwave,Flutterwave,Onda de aleteo,موجة الرفرفة,AUCUN événement pour l'instant,स्पंदन तरंग
sing Up,Sign Up,Inscribirse,اشتراك,AUCUN examen pour l'instant,साइन अप करें
no Events YEt,NO Events Yet,Aún no hay eventos,لا توجد أحداث حتى الآن,Écran de paiement Stripe,अभी तक कोई इवेंट नहीं
no Review Yet,NO Review Yet,Aún no hay revisión,لا توجد مراجعة حتى الآن,Veuillez remplir le champ,अभी तक कोई समीक्षा नहीं
stripe Payment Screen,Stripe Payment Screen,Pantalla de pago de rayas,شاشة الدفع الشريطية,Informations de connexion,स्ट्राइप भुगतान स्क्रीन
please Fill Out The Field,Please fill out the field,Por favor complete el campo,يرجى ملء الحقل,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.,कृपया फ़ील्ड भरें
login Information,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Nom d'utilisateur,लॉगिन जानकारी
please Input Your Username,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور الخاصة بك وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Mot de passe,कृपया अपना उपयोगकर्ता नाम और पासवर्ड दर्ज करें और अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में लॉगिन करें।
user Name,Username,Nombre de usuario,اسم المستخدم,Je n'ai pas de compte,उपयोगकर्ता नाम
password,Password,Contraseña,كلمة المرور,Vous avez oublié votre mot de passe ?,पासवर्ड
dont Have An Account,Don't have an account,No tienes una cuenta,ليس لديك حساب,Entrez votre email pour réinitialiser votre mot de passe,कोई खाता नहीं है
forgot Your Password,Forgot your password?,¿Olvidaste tu contraseña?,نسيت كلمة السر؟,Entrez l'e-mail,अपना कूट शब्द भूल गए?
enter Your Email,Enter your email to reset your password,Ingrese su correo electrónico para restablecer su contraseña,أدخل بريدك الإلكتروني لإعادة تعيين كلمة المرور الخاصة بك,Soumettre,अपना पासवर्ड रीसेट करने के लिए अपना ईमेल प्रविष्ट करें
enter Email,Enter Email,Ingrese el correo electrónico,أدخل البريد الإلكتروني,Changer de langue,ईमेल दर्ज करें
submit,Submit,Entregar,يُقدِّم,Soumettre maintenant,जमा करना
change Language,Change Language,Cambiar idioma,تغيير اللغة,Montant total du don,भाषा बदलें
submit Now,Submit Now,Enviar ahora,أرسل الآن,Montant collecté de tous les temps,अभी सबमिट करें
total Donation,Total Donation Amount,Monto total de la donación,إجمالي مبلغ التبرع,Dernière histoire,कुल दान राशि
all Time Raised,All Time Raised Amount,Monto recaudado todos los tiempos,المبلغ الذي تم رفعه في كل الأوقات,Portefeuille Klic2Help,सर्वकालिक जुटाई गई राशि
latest History,Latest History,Historia más reciente,أحدث التاريخ,Écran d'aperçu,नवीनतम इतिहास
klic2help Wallet,Klic2Help Wallet,Cartera Klic2Help,محفظة Klic2Help,Total des frais et charges,Klic2Help वॉलेट
preview Screen,Preview Screen,Pantalla de vista previa,شاشة المعاينة,Confirmer,पूर्वावलोकन स्क्रीन
total fee,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف,Votre argent a été ajouté avec succès !,कुल शुल्क एवं शुल्क
confirm,Confirm,Confirmar,يتأكد,Annuler,पुष्टि करना
your Money Has Been Successfully,Your money has been add successfully!,¡Tu dinero se ha agregado exitosamente!,تمت إضافة أموالك بنجاح!,Pas encore d'historique,आपका पैसा सफलतापूर्वक जोड़ दिया गया है!
cancel,Cancel,Cancelar,يلغي,Le code de vérification,रद्द करना
